epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
72,36386.5,1.07998,0.38678,0.00632,0.94665,0.90191,0.96049,0.67679,1.09959,0.47661,0.00775,9.126e-05,3.042e-05,9.126e-05,3.042e-05,9.126e-05,3.042e-05,9.126e-05,3.042e-05
73,36887.8,1.07462,0.37939,0.00626,0.95012,0.89716,0.96058,0.6768,1.09978,0.47648,0.00775,8.832e-05,2.944e-05,8.832e-05,2.944e-05,8.832e-05,2.944e-05,8.832e-05,2.944e-05
74,37388.7,1.07385,0.38306,0.00632,0.95096,0.89713,0.95762,0.6766,1.10004,0.47568,0.00775,8.538e-05,2.846e-05,8.538e-05,2.846e-05,8.538e-05,2.846e-05,8.538e-05,2.846e-05
75,37889.9,1.07451,0.37817,0.00631,0.94687,0.90014,0.95762,0.67656,1.1005,0.47676,0.00775,8.244e-05,2.748e-05,8.244e-05,2.748e-05,8.244e-05,2.748e-05,8.244e-05,2.748e-05
76,38390.9,1.07348,0.38403,0.00632,0.94491,0.90159,0.9606,0.67654,1.10135,0.47686,0.00776,7.95e-05,2.65e-05,7.95e-05,2.65e-05,7.95e-05,2.65e-05,7.95e-05,2.65e-05
77,38892.6,1.07426,0.38141,0.00632,0.94399,0.90243,0.96076,0.67637,1.10177,0.47708,0.00776,7.656e-05,2.552e-05,7.656e-05,2.552e-05,7.656e-05,2.552e-05,7.656e-05,2.552e-05
78,39394.1,1.07153,0.38125,0.00628,0.9466,0.90103,0.96071,0.67662,1.10199,0.4751,0.00776,7.362e-05,2.454e-05,7.362e-05,2.454e-05,7.362e-05,2.454e-05,7.362e-05,2.454e-05
79,39896.1,1.07125,0.38017,0.00627,0.94803,0.90026,0.95747,0.6761,1.10221,0.47586,0.00777,7.068e-05,2.356e-05,7.068e-05,2.356e-05,7.068e-05,2.356e-05,7.068e-05,2.356e-05
80,40398.4,1.07264,0.37709,0.00629,0.94651,0.90151,0.95746,0.6756,1.10266,0.47712,0.00777,6.774e-05,2.258e-05,6.774e-05,2.258e-05,6.774e-05,2.258e-05,6.774e-05,2.258e-05
81,40900.8,1.07047,0.37989,0.00628,0.9477,0.90087,0.95751,0.67549,1.10331,0.47754,0.00777,6.48e-05,2.16e-05,6.48e-05,2.16e-05,6.48e-05,2.16e-05,6.48e-05,2.16e-05
82,41402.9,1.06814,0.38115,0.00626,0.94976,0.89954,0.9575,0.67555,1.10425,0.47713,0.00778,6.186e-05,2.062e-05,6.186e-05,2.062e-05,6.186e-05,2.062e-05,6.186e-05,2.062e-05
